projectcode,naam,contour,bedrijf.id,id,created,modified,bedrijf
"20240357","Rotterdamseweg 266 Delft","GEOMETRYCOLLECTION(POLYGON((84959.2376558183 445924.0700431264,85017.17127839089 445944.3251612444,85041.39016893043 445873.77585739794,84984.71535965208 445857.0965800524,84959.2376558183 445924.0700431264)))","14679013","841704905","2024-11-08T17:19:52.000Z","2024-11-08T17:21:50.000Z","14679013"
"24.22.1.022","Langeweg 42, Belfeld","GEOMETRYCOLLECTION()","28641","841668944","2024-11-08T12:31:59.000Z","2024-11-08T12:34:23.000Z","28641"
"24.25.1.065","Depot Theemsweg","GEOMETRYCOLLECTION(POLYGON((76396.43737858422 433550.72695583594,76392.97237858422 433552.6169558359,76384.78237858422 433537.8119558359,76387.82737858422 433535.92195583595,76396.43737858422 433550.72695583594)))","28641","841655940","2024-11-08T10:39:34.000Z","2024-11-08T12:49:09.000Z","28641"
"20240405","Kulertseweg 14a (L8091) Deurne ","GEOMETRYCOLLECTION(POLYGON((184808.57419636688 385766.58885322843,184808.57419636688 385766.58885322843,184976.85817470448 385766.58885322843,185001.05583254338 385631.3958008666,184834.23841452374 385579.7366774342,184839.0046376559 385643.8526177108,184780.34356758304 385644.58534615685,184808.57419636688 385766.58885322843)))","14679013","839668708","2024-11-06T17:39:38.000Z","2024-11-06T17:47:47.000Z","14679013"
"24.3.1.68","Boussinesqweg, Delft ","GEOMETRYCOLLECTION()","28641","838601699","2024-11-05T12:38:48.000Z","2024-11-05T12:47:36.000Z","28641"
"24KL292","Rembrandtstraat 100 te Oud-Beijerland ","GEOMETRYCOLLECTION()","3820026","833642161","2024-11-01T12:59:36.000Z","2024-11-08T21:04:22.000Z","3820026"
"20240432","Portengen 1483 Kockengen","GEOMETRYCOLLECTION()","14679013","832712524","2024-10-31T16:55:25.000Z","2024-11-08T15:48:49.000Z","14679013"
"24.17.1.035","Zandstraat 9 Gemert","GEOMETRYCOLLECTION(POLYGON((176566.98740454015 394969.061272139,176547.01135629407 395011.2623277053,176579.68740872308 395025.4175407008,176603.76449998657 394980.30606750934,176575.58636570568 394968.5321052981,176566.98740454015 394969.061272139)))","28641","831598412","2024-10-30T12:04:40.000Z","2024-11-04T15:15:34.000Z","28641"
"24KL351","Veilingweg 1 te Bovenkarspel","GEOMETRYCOLLECTION()","3820026","829642039","2024-10-28T13:07:56.000Z","2024-11-07T09:00:59.000Z","3820026"
"24.25.1.058","Asbest depots Vis","GEOMETRYCOLLECTION(POLYGON((75859.72460901954 430441.83867759514,75862.87460901955 430459.16367759515,75836.93960901955 430464.09867759515,75835.67960901954 430456.22367759515,75845.33960901955 430451.91867759515,75843.97460901954 430444.67367759516,75859.72460901954 430441.83867759514)),POLYGON((75842.71460901955 430445.30367759505,75844.18460901955 430451.28867759503,75826.75460901954 430455.278677595,75825.49460901954 430448.24367759505,75842.71460901955 430445.30367759505)))","28641","829636714","2024-10-28T12:28:47.000Z","2024-11-04T11:22:28.000Z","28641"
"20240001.44PA","Steenstraat 9 Dongen","GEOMETRYCOLLECTION()","14679013","829574354","2024-10-28T05:21:04.000Z","2024-11-01T07:50:12.000Z","14679013"
"7714.3-brovalide","IJburg","GEOMETRYCOLLECTION()","1","825958692","2024-10-24T20:05:45.000Z","2024-10-28T16:51:45.000Z","1"
"24.3.1.067","Oude Tonge","GEOMETRYCOLLECTION(POLYGON((73921.75745579747 412813.9069309017,74326.20962351326 412764.4654282721,74337.5032483411 412937.5107036418,74213.27363372491 413018.73606865096,74154.68802359191 412937.5107036418,74197.03903591816 412936.09811052785,74179.3928238639 412782.12310085434,73921.75745579747 412813.9069309017)))","28641","825913256","2024-10-24T12:51:59.000Z","2024-11-04T09:13:14.000Z","28641"
"24KL353","Belterweg 12A te Belt-Schutsloot","GEOMETRYCOLLECTION()","3820026","825904525","2024-10-24T12:19:50.000Z","2024-10-31T21:02:55.000Z","3820026"
"EN06519-009","AP-04 In-situ  B.Haitzemastraat Winschoten","GEOMETRYCOLLECTION(POLYGON((266731.948054251 573528.8341722593,266820.8480835316 573537.3008417146,266829.0501695664 573454.486231105,266811.85224723537 573453.1633140026,266813.4397477582 573439.4049761378,266742.00222422916 573433.3195574668,266731.948054251 573528.8341722593)))","977404","825863993","2024-10-24T09:47:07.000Z","2024-10-30T21:01:12.000Z","977404"
"20240412","Heulenslag 74 Bleskensgraaf ","GEOMETRYCOLLECTION EMPTY","14679013","825841177","2024-10-24T07:15:44.000Z","2024-10-24T07:17:09.000Z","14679013"
"EN06587-002_oud","Peilbuizen Koehool","POLYGON((164191.7473472991 585510.3143841943,164202.01386692873 585498.5268986936,164500.01108784473 585782.3150473792,164707.16446554 586006.973899147,164702.2684433223 586010.7989165046,164495.08873892375 585787.2236610857,164191.7473472991 585510.3143841943))","977404","824923379","2024-10-23T13:14:37.000Z","2024-11-08T13:01:26.000Z","977404"
"24KL346","Smidshornerweg 18 te Niekerk","GEOMETRYCOLLECTION EMPTY","3820026","824915576","2024-10-23T12:42:18.000Z","2024-11-05T21:02:04.000Z","3820026"
"220194-B02","Indicatieve depotbemonstering  Schipholweg 66 te Leiden","GEOMETRYCOLLECTION(POLYGON((93406.087 465003.272,93410.11883888565 465000.96698723524,93411.999 465002.485,93413.5 465004.389,93414.224 465006.731,93414.51 465008.814,93413.856 465010.011,93410.93064307746 465011.25407982926,93407.641 465006.594,93406.087 465003.272)))","3146","824914944","2024-10-23T12:36:15.000Z","2024-11-05T20:00:30.000Z","3146"
"0495770-104-22-10-24","Bomen wijk 62 Krommenie West","GEOMETRYCOLLECTION EMPTY","3158","823965956","2024-10-22T13:00:51.000Z","2024-11-04T08:22:55.000Z","3158"
"24.6.2.052","Toermalijnring 600 Dordrecht","GEOMETRYCOLLECTION(POLYGON((102989.31034525587 420406.30695140926,102988.97699103496 420397.6397416655,103002.81119120285 420396.47300189233,103000.311034546 420331.9689601456,103054.48109544443 420328.1353866051,103061.14817986269 420424.47475644905,102989.31034525587 420406.30695140926)))","28641","822972175","2024-10-21T09:52:19.000Z","2024-11-01T19:00:21.000Z","28641"
"24KL298","Schatborgersweg 12 te T Zandt","POLYGON((247887.0125001854 597789.3582647484,247882.9444359154 597774.9864885634,247900.34080951157 597777.501243483,247901.57295093004 597763.4248280195,247919.82987719955 597757.6116179117,247926.8856541771 597772.592619218,247917.62235217515 597784.4348356193,247894.64469409408 597790.674350876,247887.0125001854 597789.3582647484))","1","822068847","2024-10-20T15:32:08.000Z","2024-10-21T20:35:56.000Z","1"
"RK-EN06655-001","Speeltuinen in Friesland","GEOMETRYCOLLECTION(POLYGON((175929.784482092 588417.2206522558,175924.34925566718 588401.986843259,175963.19677254872 588398.3670841316,175962.77784956025 588411.570104459,175929.784482092 588417.2206522558)),POLYGON((175871.27292999177 588412.1208743812,175867.88581963637 588399.4160157648,175898.31107447512 588398.5334650184,175887.27475981056 588411.2343928553,175871.27292999177 588412.1208743812)),POLYGON((175928.70716971415 588386.7904604488,175914.44998375358 588368.8435478951,175930.5640787297 588359.649426877,175955.94809008154 588377.2534819075,175933.65162903862 588387.401260285,175928.70716971415 588386.7904604488)),POLYGON((175904.8596222076 588353.5579865354,175935.68325364956 588335.7980934518,175984.9214364776 588359.3377466281,175980.9117361602 588371.3944479292,175964.8492868194 588374.4411001136,175940.5358844146 588361.3083200447,175934.20532700274 588357.1955589283,175904.8596222076 588353.5579865354)),POLYGON((189105.5302767167 584714.6819104917,189105.5302767167 584714.6399361561,189138.6547069535 584675.8821998201,189114.07401725624 584652.1593826133,189096.88270896766 584651.1473230005,189098.86953788612 584663.3004543575,189109.97239707803 584670.1052733184,189117.6194271073 584690.1253789638,189091.9707161698 584705.1907196386,189095.6864498124 584713.7338099413,189104.28565757605 584716.7854869714,189105.5302767167 584714.6819104917)),POLYGON((157471.52144283362 576818.9541269689,157525.70826565716 576798.0578467633,157498.8802044514 576714.2136620855,157407.72701907094 576717.5782668052,157391.69905334475 576751.8379134517,157424.59905792866 576818.435741227,157471.52144283362 576818.9541269689)),POLYGON((157107.0501612565 576810.5682807583,157163.81446040986 576797.1670414922,157178.22071393154 576761.8064209528,157116.69255549274 576755.4825741067,157090.13112609473 576732.623903352,157088.5554587132 576780.9996274279,157107.0501612565 576810.5682807583)),POLYGON((158746.81428216145 576203.2383542217,158755.72342896386 576175.569757522,158830.51273516205 576177.8870874374,158864.8779002931 576188.8656720113,158850.21808622518 576207.604818833,158822.38381141674 576203.6872931058,158771.09935217837 576198.6114908822,158746.81428216145 576203.2383542217)),POLYGON((157279.20395685645 576191.1914367381,157283.10348637583 576161.3183890467,157372.96543207712 576157.7243064172,157351.8257897359 576172.702326481,157349.79522269862 576209.3099036283,157323.8556183555 576205.2834782725,157286.07312635705 576196.2232099501,157279.20395685645 576191.1914367381)),POLYGON((158181.82899325297 574559.6229052113,158175.31415741734 574473.0801083581,158163.66174529938 574471.1203288363,158128.82146660626 574460.0295215469,158097.1351947894 574470.8188959901,158094.74278769633 574493.7844319369,158107.58787621814 574527.3627198384,158135.03812066486 574550.7084273105,158153.30508512747 574565.772254777,158181.82899325297 574559.6229052113)),POLYGON((164031.43455528308 546502.1051596672,164056.86880577137 546522.4785453012,164094.91809745837 546478.4379527706,164085.32338920643 546471.7369568022,164073.67409935046 546462.1294550555,164065.69873283437 546461.1693069389,164038.62968925526 546488.5149124986,164031.43455528308 546502.1051596672)))","1","821176475","2024-10-19T20:45:21.000Z","2024-10-24T15:16:03.000Z","1"
"24.17.1.032","Broekweg, Ouddorp","GEOMETRYCOLLECTION(POLYGON((55136.216779140836 425475.17127533385,55108.91677914083 425453.0162753339,55111.33177914083 425450.0762753339,55106.08177914083 425445.87627533387,55114.481779140835 425444.30127533386,55118.47177914083 425439.2612753339,55124.981779140835 425436.9512753339,55147.97677914083 425451.3362753339,55152.49177914083 425451.12627533387,55154.48677914083 425453.3312753339,55136.216779140836 425475.17127533385)))","28641","819246813","2024-10-17T12:41:30.000Z","2024-10-29T14:37:13.000Z","28641"
"24KL313-","Dorpsstraat 22 Nibbixwoud","GEOMETRYCOLLECTION()","3820026","811448041","2024-10-09T12:12:12.000Z","2024-11-06T09:08:13.000Z","3820026"
"P24M0084","P24M0084","GEOMETRYCOLLECTION(POLYGON((102939.2650643913 491336.75155938225,102935.89768157879 491341.6426726635,102934.36123626628 491334.0465789135,102938.39922454754 491333.39361016353,102939.2650643913 491336.75155938225)),POLYGON((102949.85058196941 491331.1722039135,102954.33482025066 491347.9832781323,102944.41642181316 491349.8244695385,102941.7828085319 491339.692789851,102939.9576132194 491333.0310320385,102949.85058196941 491331.1722039135)))","6651431","809493166","2024-10-07T11:14:41.000Z","2024-10-29T16:27:02.000Z","6651431"
"24.3.1.062","Ballast onderzoek Chane","GEOMETRYCOLLECTION(POLYGON((83729.11433007523 433766.2612336014,83725.76559773453 433764.251994197,83692.61314756161 433817.8317116482,83679.88796466695 433861.70010531135,83667.83252824044 433915.27982276253,83673.19049998556 433916.6193156988,83684.911063178 433872.4160488016,83692.27827432755 433838.9287253946,83706.00807692441 433808.45526109426,83729.11433007523 433766.2612336014)),POLYGON((83664.12121495015 434017.5565390052,83661.69656637446 434040.86759277084,83659.06272959227 434101.64565705456,83648.83724561433 434161.44924516795,83636.59765115593 434163.46335564845,83643.2597088991 434125.3501880944,83651.47108239657 434080.5467934199,83656.24796510345 434051.382230862,83661.82550181868 434017.60714741977,83664.12121495015 434017.5565390052)))","28641","809455335","2024-10-07T08:49:14.000Z","2024-11-10T13:23:51.000Z","28641"
"BM6099","Willemsparkweg 195 Amsterdam ","GEOMETRYCOLLECTION(POLYGON((119735.07656001308 485426.78915105696,119740.9112994118 485429.4041733767,119747.35285114389 485415.72200044856,119741.23804845914 485412.9201915073,119735.07656001308 485426.78915105696)))","6541024","805606983","2024-10-04T13:52:44.000Z","2024-11-01T21:03:42.000Z","6541024"
"BM6066","Haarlemmerplein 7 Amsterdam ","GEOMETRYCOLLECTION(GEOMETRYCOLLECTION EMPTY,POLYGON((120738.43319598834 488593.15148880077,120753.17791570855 488579.46626989875,120749.73453804934 488575.80216290243,120734.68079725716 488589.0459231302,120738.43319598834 488593.15148880077)))","6541024","795551591","2024-09-25T06:55:12.000Z","2024-10-22T06:22:29.000Z","6541024"
"BM6089","Huigsloterdijk 326 Abbenes","GEOMETRYCOLLECTION(POLYGON((100045.24305912203 470479.057068022,100050.94477584248 470478.96460963204,100050.63657493868 470469.71858251776,100044.9656783086 470470.0267834216,100045.24305912203 470479.057068022)))","6541024","794660450","2024-09-24T13:46:20.000Z","2024-10-29T14:36:28.000Z","6541024"
"12039.1","Ambulancepost Winschoten","GEOMETRYCOLLECTION(POLYGON((266170.56910505437 573571.5335751295,266177.53972700605 573492.973144107,266281.08783410053 573498.0959164998,266272.28768502735 573580.3846271759,266170.56910505437 573571.5335751295)),POLYGON((266176.936 573564.833,266176.936 573564.833,266176.936 573564.833,266176.936 573564.833)),POLYGON((266176.936 573564.833,266176.936 573564.833,266176.936 573564.833,266176.936 573564.833)))","4761150","794648958","2024-09-24T12:41:07.000Z","2024-10-23T11:51:51.000Z","4761150"
"20240149.1","Nijverheidsweg E1534 Groot-Ammers ","GEOMETRYCOLLECTION()","14679013","794645555","2024-09-24T12:17:00.000Z","2024-11-06T21:00:54.000Z","14679013"
"20120991_ZALTBOMMEL","Grondwatermeetnet zaltbommel","GEOMETRYCOLLECTION()","4333937","793740971","2024-09-23T18:56:41.000Z","2024-10-27T11:33:06.000Z","4333937"
"24-2096","poederoyen, karel van gelreweg 2","GEOMETRYCOLLECTION(POLYGON((135492.07827582626 422923.65305354405,135459.1121823726 422839.2297494663,135478.68984404087 422830.3220752393,135482.5365984534 422843.6966704421,135492.07827582626 422923.65305354405)))","10975621","793661499","2024-09-23T07:01:04.000Z","2024-11-05T08:21:56.000Z","10975621"
"240223","VO Metslawier","GEOMETRYCOLLECTION(POLYGON((200329.15628012584 597644.3353837451,200340.81128012584 597668.6953837451,200346.58628012583 597671.0053837452,200349.42128012585 597671.3203837451,200409.16628012582 597622.8103837452,200410.5312801258 597621.4453837452,200329.15628012584 597644.3353837451)))","138846503","788070482","2024-09-17T13:29:19.000Z","2024-11-05T07:49:52.000Z","138846503"
"EN05599-017","Weesp fase 5C2 en 6","GEOMETRYCOLLECTION()","977404","787133176","2024-09-16T15:16:26.000Z","2024-11-01T14:38:11.000Z","977404"
"240541","Ex-situ partijkeuring (VD249474) Adriaan tripweg 11 Veendam","GEOMETRYCOLLECTION(POINT(102772.51397854081 424592.21758989163),POINT(254998.5139785408 568081.2175898916))","105262","787123992","2024-09-16T13:51:00.000Z","2024-10-22T06:11:24.000Z","105262"
"24.12.1.031","Jansen Recycling","GEOMETRYCOLLECTION(POLYGON((103232.75539017751 423703.2279813918,103234.55898500375 423706.263299514,103238.4741054802 423704.01980351063,103236.67051065396 423701.1164557416,103232.75539017751 423703.2279813918)))","28641","784408309","2024-09-13T10:11:14.000Z","2024-11-03T13:04:28.000Z","28641"
"BM5989","Albert Cuypstraat 210 Amsterdam ","GEOMETRYCOLLECTION(POLYGON((121554.54866014516 485468.9151775588,121561.3946614269 485453.34384414746,121556.35466142689 485450.82556909864,121549.55066270863 485466.606758764,121554.54866014516 485468.9151775588)))","6541024","784397783","2024-09-13T08:32:59.000Z","2024-11-04T13:01:44.000Z","6541024"
"24KL298","Schatborgersweg 12 te T Zandt","GEOMETRYCOLLECTION EMPTY","3820026","781591556","2024-09-10T12:51:59.000Z","2024-10-23T16:51:23.000Z","3820026"
"5941.RK-2","Koops Zeeland 5941","GEOMETRYCOLLECTION(GEOMETRYCOLLECTION(POLYGON((47525.44262734725 385146.5585800867,42013.269500385366 385238.8023131304,42237.289994920124 382731.74942576356,48064.50719426149 382814.7199792949,47525.44262734725 385146.5585800867)),POLYGON((57895.633175211966 387727.6138802726,56701.07073151977 387397.4703873056,56761.0108556702 387007.4477779481,58224.61752073992 387308.61258493905,57895.633175211966 387727.6138802726)),POLYGON((59478.28123188325 388376.3093918163,59277.3521744894 388192.2184761685,59728.51981125633 388069.57762672997,60071.398674112796 388150.7637032828,59478.28123188325 388376.3093918163)),POLYGON((62228.3241345103 388120.8909200034,61936.56703232626 388107.3369491803,61964.2423494954 387769.2126584361,62250.10505041449 387789.2599269094,62228.3241345103 388120.8909200034)),POLYGON((63350.18314745672 386556.82572873554,62798.694139266154 386400.6398556454,63051.743622448244 385502.45288214344,65010.92282364196 384182.3276448304,68705.14587956046 382304.81760111806,70068.32732178048 382661.01469444856,66381.50295392041 384597.7185451703,63350.18314745672 386556.82572873554))),POLYGON((71628.21645685355 383576.7978312943,71053.9717901279 383553.8485293578,70892.82726796492 383547.4084968964,71139.17301375505 382891.78450290085,71658.95843844135 382978.4768909784,71628.21645685355 383576.7978312943)),POLYGON((72449.15026119897 383522.1587408818,72203.8344273824 383125.56862887915,73279.99866846768 382521.3881563361,77935.38508975065 383594.286866705,77850.48129112474 383963.9506728006,73467.9385546973 382995.54894535587,72449.15026119897 383522.1587408818)),POLYGON((77750.55432858053 382999.6573270363,76674.1322824387 382744.68812610203,77354.68034173505 380726.6760783974,80585.45755336632 380277.6321112559,81142.00456697684 382314.87188247516,77750.55432858053 382999.6573270363)))","1","775164463","2024-09-03T19:55:04.000Z","2024-10-22T22:08:41.000Z","1"
"230612","MKB Holthuis naast nr. 11 Apeldoorn","GEOMETRYCOLLECTION()","6028908","775061938","2024-09-03T07:48:03.000Z","2024-11-08T13:55:23.000Z","6028908"
"24KL300","Nabij Boslaan 54 te Zuidbroek","GEOMETRYCOLLECTION EMPTY","3820026","771457103","2024-08-30T12:09:19.000Z","2024-10-31T21:02:21.000Z","3820026"
"230419-B01","Verkennend bodemonderzoek Cartesiusdriehoek fase 6","GEOMETRYCOLLECTION(POLYGON((134698.82364412042 456873.42250267614,134537.31957511397 456792.7827589412,134641.9860881625 456794.16134406574,134688.13010787862 456792.1942401453,134736.774468702 456782.1882689155,134773.0357491084 456770.7357622501,134742.0676827642 456806.65383600054,134698.82364412042 456873.42250267614)))","3146","723931578","2024-07-10T09:16:27.000Z","2024-11-05T09:12:32.000Z","3146"
"24.3.1.031","Spaarneweg 47,77 Cruqiuis","GEOMETRYCOLLECTION(POLYGON((103306.12914632406 483202.0993680252,103402.48371289672 483115.022183707,103375.62813268644 483085.2369038374,103279.92461048251 483172.15132706345,103306.12914632406 483202.0993680252)))","28641","711142402","2024-06-26T11:06:29.000Z","2024-11-04T09:50:29.000Z","28641"
"240434","VO Lioessens","GEOMETRYCOLLECTION(POLYGON((202266.02106574806 600566.5868646441,202214.63799439042 600493.0385468184,202308.3365362779 600445.6855202732,202345.6144507923 600523.2638829112,202266.02106574806 600566.5868646441)))","138846503","697524876","2024-06-11T10:48:28.000Z","2024-10-29T10:32:31.000Z","138846503"
"24.17.1.022","Prins Bernhardlaan, Middelharnis ","GEOMETRYCOLLECTION(POLYGON((71442.70997199048 419161.6968147651,71461.69397070874 419174.38514744095,71466.56597327221 419169.67953941075,71471.857969427 419172.53651582927,71475.97397070874 419167.4107643967,71463.20597327221 419157.2432889298,71453.377969427 419153.2099193187,71451.19397070874 419157.2432889298,71447.41397070875 419155.3106363307,71442.70997199048 419161.6968147651)))","28641","687578356","2024-05-31T10:16:36.000Z","2024-11-07T10:18:57.000Z","28641"
